Family_1,Family_2,Separating_Invariant,Symbolic_Argument
Z-A,P-C,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
Z-A,M-C,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
Z-A,Z-M,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
Z-A,P-M,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
Z-A,Pt-M,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
Z-A,M-M,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
Z-A,Mt-M,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
Z-A,Z-OO,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
Z-A,P-OO,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
Z-A,M-OO,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
P-A,M-A,"Depth moment mu(sigma)","mu is constant for A-types: Z-A/Zs-A = 0, P-A = -L, M-A = +L."
P-A,Z-O,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
P-A,P-O,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
P-A,M-O,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
P-A,Z-C,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
P-A,P-C,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
P-A,M-C,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
P-A,Z-M,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
P-A,P-M,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
P-A,Pt-M,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
P-A,M-M,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
P-A,Mt-M,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
P-A,Z-OO,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
P-A,P-OO,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
P-A,M-OO,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
M-A,Z-O,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
M-A,P-O,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
M-A,M-O,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
M-A,Z-C,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
M-A,P-C,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
M-A,M-C,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
M-A,Z-M,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
M-A,P-M,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
M-A,Pt-M,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
M-A,M-M,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
M-A,Mt-M,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
M-A,Z-OO,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
M-A,P-OO,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
M-A,M-OO,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
Z-O,P-O,"Maximum / Minimum depth","Z-O has depths [1,L-1]; P-O has [1,L-2]; M-O has [1,L-1] but no 0. Zero membership separates Z-O/P-O from M-O. Max depth separates Z-O from P-O."
Z-O,M-O,"Maximum / Minimum depth","Z-O has depths [1,L-1]; P-O has [1,L-2]; M-O has [1,L-1] but no 0. Zero membership separates Z-O/P-O from M-O. Max depth separates Z-O from P-O."
Z-O,Z-C,"Coefficient signs","O-type has +1 coefficients; C-type has -2 coefficients."
Z-O,P-C,"Coefficient signs","O-type has +1 coefficients; C-type has -2 coefficients."
Z-O,M-C,"Coefficient signs","O-type has +1 coefficients; C-type has -2 coefficients."
Z-O,Z-M,"Mixed Shape","M-type contains genuine (+1,-2) shapes; O-type is strictly {+1}."
Z-O,P-M,"Mixed Shape","M-type contains genuine (+1,-2) shapes; O-type is strictly {+1}."
Z-O,Pt-M,"Mixed Shape","M-type contains genuine (+1,-2) shapes; O-type is strictly {+1}."
Z-O,M-M,"Mixed Shape","M-type contains genuine (+1,-2) shapes; O-type is strictly {+1}."
Z-O,Mt-M,"Mixed Shape","M-type contains genuine (+1,-2) shapes; O-type is strictly {+1}."
Z-O,Z-OO,"Shape (+2 or {1,1})","OO-type contains either a +2 coefficient or a {1,1} two-depth shape for L>=5; O-type only has unary {1}."
Z-O,P-OO,"Shape (+2 or {1,1})","OO-type contains either a +2 coefficient or a {1,1} two-depth shape for L>=5; O-type only has unary {1}."
Z-O,M-OO,"Shape (+2 or {1,1})","OO-type contains either a +2 coefficient or a {1,1} two-depth shape for L>=5; O-type only has unary {1}."
P-O,M-O,"Maximum / Minimum depth","Z-O has depths [1,L-1]; P-O has [1,L-2]; M-O has [1,L-1] but no 0. Zero membership separates Z-O/P-O from M-O. Max depth separates Z-O from P-O."
P-O,Z-C,"Coefficient signs","O-type has +1 coefficients; C-type has -2 coefficients."
P-O,P-C,"Coefficient signs","O-type has +1 coefficients; C-type has -2 coefficients."
P-O,M-C,"Coefficient signs","O-type has +1 coefficients; C-type has -2 coefficients."
P-O,Z-M,"Mixed Shape","M-type contains genuine (+1,-2) shapes; O-type is strictly {+1}."
P-O,P-M,"Mixed Shape","M-type contains genuine (+1,-2) shapes; O-type is strictly {+1}."
P-O,Pt-M,"Mixed Shape","M-type contains genuine (+1,-2) shapes; O-type is strictly {+1}."
P-O,M-M,"Mixed Shape","M-type contains genuine (+1,-2) shapes; O-type is strictly {+1}."
P-O,Mt-M,"Mixed Shape","M-type contains genuine (+1,-2) shapes; O-type is strictly {+1}."
P-O,Z-OO,"Shape (+2 or {1,1})","OO-type contains either a +2 coefficient or a {1,1} two-depth shape for L>=5; O-type only has unary {1}."
P-O,P-OO,"Shape (+2 or {1,1})","OO-type contains either a +2 coefficient or a {1,1} two-depth shape for L>=5; O-type only has unary {1}."
P-O,M-OO,"Shape (+2 or {1,1})","OO-type contains either a +2 coefficient or a {1,1} two-depth shape for L>=5; O-type only has unary {1}."
M-O,Z-C,"Coefficient signs","O-type has +1 coefficients; C-type has -2 coefficients."
M-O,P-C,"Coefficient signs","O-type has +1 coefficients; C-type has -2 coefficients."
M-O,M-C,"Coefficient signs","O-type has +1 coefficients; C-type has -2 coefficients."
M-O,Z-M,"Mixed Shape","M-type contains genuine (+1,-2) shapes; O-type is strictly {+1}."
M-O,P-M,"Mixed Shape","M-type contains genuine (+1,-2) shapes; O-type is strictly {+1}."
M-O,Pt-M,"Mixed Shape","M-type contains genuine (+1,-2) shapes; O-type is strictly {+1}."
M-O,M-M,"Mixed Shape","M-type contains genuine (+1,-2) shapes; O-type is strictly {+1}."
M-O,Mt-M,"Mixed Shape","M-type contains genuine (+1,-2) shapes; O-type is strictly {+1}."
M-O,Z-OO,"Shape (+2 or {1,1})","OO-type contains either a +2 coefficient or a {1,1} two-depth shape for L>=5; O-type only has unary {1}."
M-O,P-OO,"Shape (+2 or {1,1})","OO-type contains either a +2 coefficient or a {1,1} two-depth shape for L>=5; O-type only has unary {1}."
M-O,M-OO,"Shape (+2 or {1,1})","OO-type contains either a +2 coefficient or a {1,1} two-depth shape for L>=5; O-type only has unary {1}."
Z-C,P-C,"Zero membership / Depth range","P-C lacks 0; Z-C has 0 and -2e_{L-1}; M-C has 0 but lacks -2e_{L-1}."
Z-C,M-C,"Zero membership / Depth range","P-C lacks 0; Z-C has 0 and -2e_{L-1}; M-C has 0 but lacks -2e_{L-1}."
Z-C,Z-M,"Mixed Shape","M-type contains genuine (+1,-2) shapes; C-type is strictly {-2}."
Z-C,P-M,"Mixed Shape","M-type contains genuine (+1,-2) shapes; C-type is strictly {-2}."
Z-C,Pt-M,"Mixed Shape","M-type contains genuine (+1,-2) shapes; C-type is strictly {-2}."
Z-C,M-M,"Mixed Shape","M-type contains genuine (+1,-2) shapes; C-type is strictly {-2}."
Z-C,Mt-M,"Mixed Shape","M-type contains genuine (+1,-2) shapes; C-type is strictly {-2}."
Z-C,Z-OO,"Coefficient signs","OO-type is strictly non-negative; C-type is strictly negative (-2)."
Z-C,P-OO,"Coefficient signs","OO-type is strictly non-negative; C-type is strictly negative (-2)."
Z-C,M-OO,"Coefficient signs","OO-type is strictly non-negative; C-type is strictly negative (-2)."
P-C,M-C,"Zero membership / Depth range","P-C lacks 0; Z-C has 0 and -2e_{L-1}; M-C has 0 but lacks -2e_{L-1}."
P-C,Z-M,"Mixed Shape","M-type contains genuine (+1,-2) shapes; C-type is strictly {-2}."
P-C,P-M,"Mixed Shape","M-type contains genuine (+1,-2) shapes; C-type is strictly {-2}."
P-C,Pt-M,"Mixed Shape","M-type contains genuine (+1,-2) shapes; C-type is strictly {-2}."
P-C,M-M,"Mixed Shape","M-type contains genuine (+1,-2) shapes; C-type is strictly {-2}."
P-C,Mt-M,"Mixed Shape","M-type contains genuine (+1,-2) shapes; C-type is strictly {-2}."
P-C,Z-OO,"Coefficient signs","OO-type is strictly non-negative; C-type is strictly negative (-2)."
P-C,P-OO,"Coefficient signs","OO-type is strictly non-negative; C-type is strictly negative (-2)."
P-C,M-OO,"Coefficient signs","OO-type is strictly non-negative; C-type is strictly negative (-2)."
M-C,Z-M,"Mixed Shape","M-type contains genuine (+1,-2) shapes; C-type is strictly {-2}."
M-C,P-M,"Mixed Shape","M-type contains genuine (+1,-2) shapes; C-type is strictly {-2}."
M-C,Pt-M,"Mixed Shape","M-type contains genuine (+1,-2) shapes; C-type is strictly {-2}."
M-C,M-M,"Mixed Shape","M-type contains genuine (+1,-2) shapes; C-type is strictly {-2}."
M-C,Mt-M,"Mixed Shape","M-type contains genuine (+1,-2) shapes; C-type is strictly {-2}."
M-C,Z-OO,"Coefficient signs","OO-type is strictly non-negative; C-type is strictly negative (-2)."
M-C,P-OO,"Coefficient signs","OO-type is strictly non-negative; C-type is strictly negative (-2)."
M-C,M-OO,"Coefficient signs","OO-type is strictly non-negative; C-type is strictly negative (-2)."
Z-M,P-M,"Depth moment range","Z-M in [-(L-1),0], P-M/Pt-M in [-2L+2,-L], M-M/Mt-M in [1,L-1]. Ranges are mutually disjoint for L>=5."
Z-M,Pt-M,"Depth moment range","Z-M in [-(L-1),0], P-M/Pt-M in [-2L+2,-L], M-M/Mt-M in [1,L-1]. Ranges are mutually disjoint for L>=5."
Z-M,M-M,"Depth moment range","Z-M in [-(L-1),0], P-M/Pt-M in [-2L+2,-L], M-M/Mt-M in [1,L-1]. Ranges are mutually disjoint for L>=5."
Z-M,Mt-M,"Depth moment range","Z-M in [-(L-1),0], P-M/Pt-M in [-2L+2,-L], M-M/Mt-M in [1,L-1]. Ranges are mutually disjoint for L>=5."
Z-M,Z-OO,"Mixed Shape","M-type contains negative coefficients (-2 or -1); OO-type is strictly non-negative."
Z-M,P-OO,"Mixed Shape","M-type contains negative coefficients (-2 or -1); OO-type is strictly non-negative."
Z-M,M-OO,"Mixed Shape","M-type contains negative coefficients (-2 or -1); OO-type is strictly non-negative."
P-M,Pt-M,"Truncation witness tau_P","tau_P = e_{L-2} - 2e_{L-1} is in P-M but not Pt-M."
P-M,M-M,"Depth moment range","Z-M in [-(L-1),0], P-M/Pt-M in [-2L+2,-L], M-M/Mt-M in [1,L-1]. Ranges are mutually disjoint for L>=5."
P-M,Mt-M,"Depth moment range","Z-M in [-(L-1),0], P-M/Pt-M in [-2L+2,-L], M-M/Mt-M in [1,L-1]. Ranges are mutually disjoint for L>=5."
P-M,Z-OO,"Mixed Shape","M-type contains negative coefficients (-2 or -1); OO-type is strictly non-negative."
P-M,P-OO,"Mixed Shape","M-type contains negative coefficients (-2 or -1); OO-type is strictly non-negative."
P-M,M-OO,"Mixed Shape","M-type contains negative coefficients (-2 or -1); OO-type is strictly non-negative."
Pt-M,M-M,"Depth moment range","Z-M in [-(L-1),0], P-M/Pt-M in [-2L+2,-L], M-M/Mt-M in [1,L-1]. Ranges are mutually disjoint for L>=5."
Pt-M,Mt-M,"Depth moment range","Z-M in [-(L-1),0], P-M/Pt-M in [-2L+2,-L], M-M/Mt-M in [1,L-1]. Ranges are mutually disjoint for L>=5."
Pt-M,Z-OO,"Mixed Shape","M-type contains negative coefficients (-2 or -1); OO-type is strictly non-negative."
Pt-M,P-OO,"Mixed Shape","M-type contains negative coefficients (-2 or -1); OO-type is strictly non-negative."
Pt-M,M-OO,"Mixed Shape","M-type contains negative coefficients (-2 or -1); OO-type is strictly non-negative."
M-M,Mt-M,"Truncation witness e_1","e_1 is in M-M but not Mt-M."
M-M,Z-OO,"Mixed Shape","M-type contains negative coefficients (-2 or -1); OO-type is strictly non-negative."
M-M,P-OO,"Mixed Shape","M-type contains negative coefficients (-2 or -1); OO-type is strictly non-negative."
M-M,M-OO,"Mixed Shape","M-type contains negative coefficients (-2 or -1); OO-type is strictly non-negative."
Mt-M,Z-OO,"Mixed Shape","M-type contains negative coefficients (-2 or -1); OO-type is strictly non-negative."
Mt-M,P-OO,"Mixed Shape","M-type contains negative coefficients (-2 or -1); OO-type is strictly non-negative."
Mt-M,M-OO,"Mixed Shape","M-type contains negative coefficients (-2 or -1); OO-type is strictly non-negative."
Z-OO,P-OO,"Depth moment range","Z-OO spans [0, 2L-2]; P-OO spans [0, L-2]; M-OO spans [L, 2L-2]. Mutually disjoint max/min bounds."
Z-OO,M-OO,"Depth moment range","Z-OO spans [0, 2L-2]; P-OO spans [0, L-2]; M-OO spans [L, 2L-2]. Mutually disjoint max/min bounds."
P-OO,M-OO,"Depth moment range","Z-OO spans [0, 2L-2]; P-OO spans [0, L-2]; M-OO spans [L, 2L-2]. Mutually disjoint max/min bounds."
